0|0|59290|62129|5|-17|43
1|1|60765|63596|19|53|60
2|2|61465|58764|-32|16|40
3|3|66314|81843|-71|-4|52
4|4|81053|82661|-3|22|74
5|5|67851|39432|-1|19|54
6|6|38835|40817|-26|72|70
7|7|77123|42002|-43|-22|69
8|8|77490|62586|47|-1|76
9|9|48307|53569|-74|42|68
10|10|52795|82140|-6|16|52
11|11|56386|51103|9|-47|44
12|12|47436|68274|-65|31|61
13|13|83020|43752|48|-26|65
14|14|49704|52920|1|-8|79
15|15|66361|73209|44|73|72
16|16|59300|76013|28|-41|69
17|17|79693|78725|40|34|67
18|18|74361|73614|71|42|73
19|19|84133|47212|48|74|73
20|20|80376|78983|11|-66|41
21|21|76258|65955|43|-52|46
22|22|74650|65597|45|54|51
23|23|78013|78480|-52|-26|74
24|24|77074|51590|71|74|41
25|25|52103|61119|59|44|68
26|26|52924|65047|-33|-40|43
27|27|62535|61836|-32|-68|66
28|28|71503|44053|-27|-72|74
29|29|85293|83946|-38|48|76
30|30|47626|85036|-9|39|52
31|31|63824|44225|8|-30|56
32|32|65757|67181|47|69|72
33|33|72242|68157|-51|33|67
34|34|48806|81629|9|-23|44
35|35|77039|65864|55|-69|54
36|36|69955|49065|4|43|64
37|37|58717|42482|59|-48|57
38|38|78261|50744|57|-6|56
39|39|61625|78345|58|68|51
40|40|54579|71066|-68|45|79
41|41|81855|43013|-35|72|68
42|42|79562|60258|-53|39|56
43|43|81999|73337|57|33|49
44|44|55774|57862|-66|-9|73
45|45|52853|67671|38|-14|61
46|46|73128|79369|64|-38|55
47|47|66400|75980|-33|73|62
48|48|59253|76201|-32|-74|55
49|49|58619|46953|-12|11|43
50|50|82281|42127|11|-2|63
51|51|83739|66282|-20|12|66
52|52|68274|76956|-19|3|69
53|53|51466|82897|44|50|61
54|54|48830|58551|-24|16|49
55|55|79704|81930|62|54|40
56|56|71152|77310|-47|-22|76
57|57|82775|68352|-68|49|58
58|58|68061|71976|26|26|61
59|59|40430|43579|-30|5|56
60|60|69614|47557|-38|-8|46
61|61|85643|63082|-22|-8|55
62|62|83417|47551|61|-46|44
63|63|39166|58613|-42|27|68
64|64|85519|58516|4|-22|59
65|65|82784|85652|-47|-67|62
66|66|40310|67856|-34|-36|76
67|67|52568|42670|74|-70|71
68|68|83676|57743|23|-30|46
69|69|70379|49491|45|27|74
70|70|72851|84545|21|35|67
71|71|53358|57220|-61|40|68
72|72|48018|56370|-58|74|79
73|73|70094|78632|2|-24|42
74|74|43049|62104|-59|24|63
75|75|39548|41571|69|-19|78
76|76|61249|50728|48|11|58
77|77|45042|58941|-40|14|73
78|78|82484|85175|-22|47|43
79|79|47467|59014|18|68|74
80|80|51251|44551|-50|-66|79
81|81|64838|78307|68|70|76
82|82|72065|76608|19|26|72
83|83|43123|69392|-17|-7|65
84|84|79369|79843|-71|-47|74
85|85|67438|52166|8|14|40
86|86|45447|60537|7|36|73
87|87|67276|51524|35|43|57
88|88|59651|50021|-8|64|79
89|89|69665|71224|25|35|72
90|90|64937|82029|-11|-71|79
91|91|85492|59138|69|34|57
92|92|81925|42544|-66|-64|58
93|93|69233|58248|23|2|77
94|94|77846|74242|18|63|44
95|95|63490|48116|-37|-3|49
96|96|60418|49226|46|-22|55
97|97|44653|38927|17|33|52
98|98|45567|82459|-42|-54|69
99|99|69429|73289|14|-68|40
