0|0|84818|58829|5|-3|51
1|1|41619|49946|29|-39|62
2|2|81083|52800|-16|-72|77
3|3|80028|67235|-7|66|76
4|4|47771|59666|69|44|40
5|5|72151|84179|47|-39|74
6|6|49933|59729|51|62|62
7|7|83395|59463|-71|59|79
8|8|78158|62354|-42|73|75
9|9|78793|75219|-72|-12|59
10|10|53835|51698|0|37|64
11|11|57460|67764|-37|-19|58
12|12|49020|82876|40|36|49
13|13|69888|68701|-35|68|57
14|14|79220|61069|-32|-18|71
15|15|74843|39949|-55|-73|50
16|16|54495|80856|-32|-48|64
17|17|53160|72294|-64|-53|69
18|18|82880|76515|15|41|51
19|19|43153|82379|22|39|58
20|20|58307|78783|-69|-17|56
21|21|69176|47535|-25|57|58
22|22|39624|73050|-22|-34|61
23|23|53974|69136|36|1|44
24|24|54087|81417|36|6|72
25|25|80659|46711|66|43|43
26|26|68096|48051|74|31|65
27|27|76903|71330|33|41|61
28|28|48261|42391|4|-38|46
29|29|77810|54902|22|-61|45
30|30|70147|63165|47|-16|71
31|31|56445|61383|64|58|79
32|32|79076|57560|-24|-29|72
33|33|66866|64106|74|34|68
34|34|69916|59682|-15|32|63
35|35|66171|63702|35|-3|76
36|36|56204|54066|31|41|47
37|37|61181|64588|-68|-28|41
38|38|42075|79272|59|13|48
39|39|68853|77798|-45|45|51
40|40|78929|74318|-75|-19|79
41|41|41364|73800|21|-29|59
42|42|61988|75845|-44|8|67
43|43|41126|75177|39|-46|50
44|44|83201|48513|19|-67|58
45|45|49164|47982|14|-21|58
46|46|41514|57876|-75|25|77
47|47|57269|70875|-9|-19|55
48|48|54511|83658|-44|-3|56
49|49|63878|73588|-22|-73|40
