0|500463.0055,373483.2293|-26.0971,34.6165|324.0
1|555079.0017,339404.1656|417.9289,-185.8951|218.0
2|282409.5325,361147.2891|750.0135,87.9534|113.0
3|91153.0495,624246.8161|226.8276,342.5178|288.0
4|152718.3557,990027.2994|894.1366,-0.0197|207.0
5|491454.5528,992257.4361|624.5671,-134.2394|304.0
6|527324.9857,858941.7798|574.7868,-135.4981|200.0
7|410506.629,112470.8895|103.926,174.836|343.0
8|413614.9505,682275.3854|671.0181,-494.1271|329.0
9|203873.7866,971120.2469|-120.5888,-28.1698|340.0
10|195934.0088,582960.8996|483.3833,-395.718|386.0
11|84116.1487,795998.4902|556.6828,171.0273|143.0
12|569817.5394,157069.5646|-102.4428,-50.5367|175.0
13|668769.5756,587574.4703|294.0454,-561.9887|353.0
14|355594.465,461272.606|105.2324,298.7313|293.0
15|184349.3112,366756.2408|67.2954,34.2696|256.0
16|266779.1154,199459.0086|91.496,-568.8758|163.0
17|580974.8114,743456.7176|398.4857,54.1853|168.0
18|393837.9887,193392.1032|703.0992,-242.3696|295.0
19|693757.3512,664362.9381|-111.9719,-373.616|144.0
20|506097.7354,685251.4728|289.6396,-517.6091|274.0
21|299417.3474,465002.102|755.4796,109.314|279.0
22|205213.5667,777391.1463|-105.7531,-448.5226|107.0
23|435060.9832,806098.3704|-35.3859,-163.2254|337.0
24|176251.6764,494334.4143|-33.7736,-209.3034|304.0
25|762285.5972,579752.431|887.1509,-46.0551|371.0
26|-33626.8976,466848.7845|49.158,-604.877|341.0
27|114664.5798,323162.5156|371.7409,215.9168|298.0
28|615515.6543,664563.2262|-75.5151,86.7253|102.0
29|111385.3286,641169.855|544.9755,-202.2405|109.0
30|-16853.3725,825636.3816|692.997,-528.796|230.0
31|27691.3732,700646.6844|868.728,-546.7271|247.0
32|-54983.5767,667964.8284|314.1396,-10.2788|376.0
33|486214.1982,723245.0262|868.1453,-519.017|173.0
34|266629.5822,778399.9474|441.8629,-34.5281|226.0
35|255043.2071,96819.8262|410.9341,12.6172|235.0
36|47198.2875,450487.957|557.4957,-332.2224|367.0
37|282236.3855,405496.1897|734.6881,-593.7065|360.0
38|676222.6243,590982.3049|441.2524,337.1213|343.0
39|488755.6816,477993.4321|573.3859,188.7622|234.0
40|-32605.1987,1010368.2638|206.7179,116.9743|235.0
41|404505.367,738747.4219|689.0856,262.7113|299.0
42|399885.2085,750198.5773|643.4375,-16.2967|110.0
43|285548.6766,964881.5809|760.6722,319.3985|291.0
44|255502.1589,823744.2861|-56.3711,-550.7424|329.0
45|242346.9607,603807.8096|433.7614,-616.7917|308.0
46|359766.0997,774957.7589|586.3504,248.5077|217.0
47|-77370.3022,591420.1521|45.274,112.4869|305.0
48|388173.1399,596878.8012|648.0284,-613.9511|263.0
49|21238.0547,95473.1558|603.0222,-321.7929|210.0
50|324576.0835,560340.0096|-193.2368,-613.5977|225.0
51|312599.5512,519678.6501|629.5598,-616.8006|387.0
52|687968.0864,762995.5221|317.4002,23.4318|193.0
53|-226654.3506,408230.2685|70.7703,237.1302|264.0
54|771251.8365,589007.3814|211.9329,25.1512|163.0
55|798632.3912,688571.5542|-56.7375,-268.7546|269.0
56|178177.8158,991287.0716|842.6546,-504.2017|180.0
57|277530.2479,853345.8617|121.8219,-310.2994|210.0
58|720578.5424,1024774.7718|56.6454,-356.8405|159.0
59|308587.6418,916010.3356|366.1564,-304.0682|373.0
60|715427.8998,1240865.6689|298.5839,-549.3777|161.0
61|-328911.4915,837953.9521|813.0813,130.5026|360.0
62|747567.4643,457486.1872|-198.3512,-354.3302|225.0
63|686440.0692,673902.9233|872.8421,-487.8863|164.0
64|607648.4263,265353.7826|83.4678,246.2116|255.0
65|663952.793,101522.618|-50.171,298.696|343.0
66|380314.3252,254956.0747|360.849,195.9769|343.0
67|308124.6996,124117.2783|793.4034,-141.5737|139.0
68|643508.0386,678885.559|873.2679,-559.4431|227.0
69|401166.8793,638276.8305|257.3849,327.8824|321.0
70|-198224.1838,1132032.9928|-22.7064,-425.9832|376.0
71|602916.491,513570.9634|183.0672,-400.4516|112.0
72|384548.0096,284301.5395|454.7118,-583.0322|283.0
73|785532.9633,252459.1264|515.4871,-359.1914|150.0
74|254364.6645,857291.5624|-189.2741,-354.9223|114.0
75|-45958.4994,461601.5556|-1.5204,341.168|234.0
76|295632.392,482109.8764|744.4009,-426.3615|343.0
77|327334.6013,571360.3713|286.2641,-155.6731|180.0
78|267894.7957,846872.0458|782.3359,-377.5282|391.0
79|746498.4659,811422.2018|620.4704,-361.4009|187.0
80|273985.8854,140602.1524|-180.017,99.834|304.0
81|197317.2238,907062.4603|-183.1456,-519.3759|319.0
82|462413.4823,1142245.8142|85.6049,-138.2896|394.0
83|337724.8497,983087.3275|-121.3393,305.6069|149.0
84|418927.654,837962.7816|431.4865,-222.5893|136.0
85|114445.021,532881.7213|850.5138,104.52|168.0
86|603707.9388,788747.938|674.8001,-365.5335|258.0
87|281292.6155,943537.0169|31.1936,-454.0704|375.0
88|668922.4039,858655.2754|872.6626,70.5146|289.0
89|666508.952,682726.9721|3.1393,278.7156|322.0
90|123355.4527,733119.4019|853.1832,30.8353|151.0
91|441061.4993,221426.1112|461.1708,-392.9874|187.0
92|281936.4291,162296.8912|-106.966,-200.7932|336.0
93|409337.7059,497923.662|633.9767,-151.51|382.0
94|379996.7155,525843.5322|600.0626,-228.4286|130.0
95|384460.1887,919420.748|49.7668,-135.3895|135.0
96|502589.5151,724218.9946|-8.0617,-422.1233|262.0
97|522474.7092,459212.7021|-135.1594,-432.138|238.0
98|191491.7606,562394.0248|-101.3447,210.4844|142.0
99|14024.9788,632283.9505|578.8756,-173.9537|254.0
100|177626.4941,781067.8704|33.6102,-61.2946|352.0
101|-304336.5502,828316.2683|329.3988,344.002|117.0
102|560693.1094,1077165.1686|743.7223,234.0735|369.0
103|-34903.6048,595800.5244|-73.3764,-342.0603|212.0
104|7245.4081,281992.9675|-173.6929,-320.0402|388.0
105|264213.3772,593167.3662|401.2407,-186.2394|230.0
106|379463.8875,1191317.4379|104.9907,-514.3719|388.0
107|858689.2432,816287.3367|677.5993,11.4367|357.0
108|594887.6484,545711.6772|554.9648,88.4865|382.0
109|866454.9712,777160.9794|644.0459,-476.5047|136.0
110|568396.9088,553960.0486|248.5066,323.127|143.0
111|425675.8227,699844.9563|833.4769,-619.6766|148.0
112|595782.6464,823363.3329|-100.9934,-46.8236|326.0
113|64137.4897,1095099.8089|670.4936,238.6306|247.0
114|-155925.8899,796858.8446|894.1973,43.7602|218.0
115|342158.6571,998247.2651|871.0598,-199.7061|260.0
116|200565.589,230030.9806|357.6729,82.2733|354.0
117|181847.4014,905236.138|54.5123,-549.0734|132.0
118|518143.3085,766294.0231|849.1006,-356.3413|185.0
119|198238.6895,788774.9392|706.9525,-552.2353|192.0
120|281118.4565,469585.4497|94.0177,286.6963|172.0
121|136495.832,673026.8757|-109.2441,-193.3175|392.0
122|157019.7869,574930.2457|662.7909,-551.8945|136.0
123|98594.5499,742123.298|-195.7924,-572.3024|394.0
124|503631.2086,634231.2473|740.2064,-590.3349|359.0
125|155828.899,1075484.724|-191.8538,31.6565|371.0
126|240017.7283,1378413.6828|487.4946,326.0682|289.0
127|547332.3921,902876.7683|347.1323,201.1288|204.0
128|308330.7998,416832.1905|-173.5413,-74.407|141.0
129|186455.2089,533377.9698|-108.0303,-118.7098|171.0
130|56349.7,795234.1973|462.8377,-79.2713|233.0
131|537142.5015,542322.1342|-25.0711,97.489|268.0
132|118456.7822,992208.1242|370.5651,331.6774|133.0
133|404742.1516,389361.1325|-31.6364,-42.0791|381.0
134|335206.9777,336775.153|810.3219,263.903|254.0
135|214781.3269,1071793.8022|379.2706,-374.818|145.0
136|617052.8428,566361.222|263.8968,65.7541|214.0
137|390121.1345,380252.4669|150.4159,-458.6903|181.0
138|633566.0855,1086077.2472|331.7281,-447.7207|201.0
139|344041.1343,250043.6486|751.3368,-135.8005|377.0
140|-146320.5605,1023605.2404|17.1886,-582.1686|181.0
141|254756.5174,485655.939|815.8309,208.9827|133.0
142|120198.8296,805054.7851|250.3141,-32.7753|399.0
143|-71967.6591,480457.4303|53.4633,-212.3744|186.0
144|405110.8932,775445.6363|-114.5128,321.8269|381.0
145|503522.2592,1097360.2726|-107.3387,-133.8753|297.0
146|766326.3269,789084.5361|-103.4146,-192.9872|261.0
147|312167.9012,486927.6385|479.4524,-120.2653|105.0
148|291206.1578,651176.7861|424.1199,160.1561|356.0
149|-123326.4566,975694.3252|828.8714,104.2572|249.0
150|-837.294,586933.0275|882.1465,158.1376|184.0
151|461863.2033,810086.1443|234.4835,-525.2421|390.0
152|331433.672,722377.7412|174.6366,-153.2884|330.0
153|181051.3934,533974.9576|487.5428,328.5866|181.0
154|771131.0909,845703.471|-173.1823,-609.1264|210.0
155|-73123.343,160337.6829|539.5434,-409.2126|228.0
156|177785.247,125790.4361|491.6524,255.8318|360.0
157|156949.0275,512067.0151|622.9515,-113.7188|215.0
158|387701.3327,686154.0061|148.7091,-128.5174|238.0
159|233031.1328,502336.7817|629.8358,-258.9024|166.0
160|345556.3095,969954.3419|582.8191,-496.7495|275.0
161|231837.6003,617374.1227|684.6875,-337.7921|148.0
162|495251.7158,1120445.176|860.4949,-497.4657|172.0
163|318383.3183,1107482.1659|248.5024,171.1645|153.0
164|909639.7497,881842.9728|867.4449,-34.7489|123.0
165|41751.7942,546667.9712|179.2979,-232.7759|286.0
166|361468.1843,557169.532|64.8492,192.3285|373.0
167|483136.4297,735401.0206|501.5386,-581.4088|254.0
168|417357.9294,943312.1022|169.8439,122.3039|153.0
169|-146556.1257,737199.4869|684.5591,-622.1172|373.0
170|452405.4958,667648.3493|309.8918,-359.1025|177.0
171|-38646.2585,851577.5435|64.3808,143.5925|152.0
172|196385.2599,103065.1731|181.3876,-572.9506|388.0
173|236778.6616,780719.2783|364.5654,139.8974|167.0
174|280099.4644,562184.1506|606.769,-372.0617|249.0
175|33165.1013,309787.9921|-57.8534,146.0412|131.0
176|777614.1144,583356.7079|206.0787,-56.8053|132.0
177|366739.6961,997376.3947|32.0662,-501.8086|316.0
178|418096.098,270148.6627|768.395,-375.9211|187.0
179|435838.0363,823334.1947|88.0285,-568.5729|155.0
180|568442.3767,832016.6953|263.1827,150.6772|162.0
181|27054.6502,705088.7186|200.3616,-252.0846|131.0
182|223348.3926,622258.049|343.448,-117.5127|279.0
183|462557.9257,371898.6192|-42.6442,316.1573|282.0
184|643698.4341,879975.5362|445.6935,272.8422|274.0
185|428943.4138,281916.6281|263.335,-94.1831|276.0
186|85391.7042,454000.2404|722.7715,-589.0094|282.0
187|689052.697,1002182.3056|363.1688,-219.841|283.0
188|140266.969,906474.507|672.0814,65.9296|263.0
189|190011.3317,819926.257|754.151,-203.6086|300.0
190|463844.6415,1072080.5777|150.8892,-283.7411|225.0
191|56272.7863,804911.4301|-214.8689,-516.8776|203.0
192|608101.1553,727706.6583|379.7444,-246.4988|297.0
193|139711.8463,685274.5625|594.6854,-199.3215|138.0
194|50600.773,624580.7168|146.8993,-448.9075|168.0
195|354268.7975,62931.2871|326.1905,-292.1278|137.0
196|767278.2503,885127.4836|150.7825,206.0245|113.0
197|161200.5357,832291.6955|695.3985,227.3753|142.0
198|145605.9001,1007995.5665|-40.0376,-279.5391|272.0
199|239972.5378,174983.1141|807.0549,-6.3308|355.0
200|128681.1597,590555.9527|-64.3625,32.9965|200.0
201|527492.8032,797874.2963|556.0204,-248.328|324.0
202|668351.2526,548742.8091|201.4092,-402.9758|396.0
203|41000.05,544656.9162|916.5755,146.0689|159.0
204|369378.6791,627780.5072|244.7269,-2.0371|370.0
205|608584.4567,610495.8281|643.2007,-578.3153|192.0
206|346455.4642,615553.883|469.7035,-407.6949|139.0
207|279837.7102,628608.4572|912.8307,219.9413|331.0
208|293815.8869,683848.2981|688.3573,-510.3237|131.0
209|577004.8718,528112.367|593.1315,-379.1518|314.0
210|66726.0388,386569.5625|567.7103,-444.4061|391.0
211|453213.9673,746965.0486|478.128,288.9465|283.0
212|410207.308,573149.7589|434.726,-492.6981|321.0
213|718464.2058,1229982.3728|-184.9292,-459.1181|355.0
214|658760.0372,780710.7722|-72.7337,-146.6949|307.0
215|747633.0168,7146.2734|655.5755,63.7141|351.0
216|401488.6217,496549.9059|285.1369,152.3912|281.0
217|866815.4537,681987.1217|173.5327,-52.8001|356.0
218|-343654.8999,483483.2592|257.8817,334.9046|160.0
219|729923.262,443242.5506|68.5085,32.168|265.0
220|-249727.8698,351734.5225|-162.3343,-405.9039|267.0
221|38226.7613,597413.9587|169.1162,-276.1157|235.0
222|418489.1119,804380.3587|389.1943,-254.0012|140.0
223|437858.6953,449803.2779|-161.0794,-511.9283|160.0
224|368941.7715,396734.4879|-218.6712,-79.5401|178.0
225|750692.0376,399658.7427|820.7797,-326.1913|110.0
226|657467.9366,711682.9605|137.1774,-237.2285|377.0
227|136478.0345,449751.9326|604.2982,149.7873|330.0
228|427824.2291,1114612.6103|-64.5224,-521.07|392.0
229|323636.2439,829124.1422|23.2617,78.9874|216.0
230|366640.1299,817212.0423|-178.3067,81.8244|273.0
231|404594.8417,585749.8497|903.2501,-151.7654|225.0
232|367522.367,968246.4832|124.2769,177.6782|258.0
233|682526.5534,464213.8889|214.3754,-307.9056|313.0
234|-105386.4086,444728.2155|48.0443,-319.3258|226.0
235|192524.0037,423106.5634|687.145,-326.5365|143.0
236|526413.7627,228588.0411|468.0289,-61.9179|368.0
237|557104.2709,1083565.597|891.3746,-229.7194|250.0
238|-159346.5859,1036732.9613|559.3803,-98.9631|255.0
239|470306.6515,890367.6589|49.0882,31.0772|263.0
240|182264.9982,824650.5501|77.862,330.8616|364.0
241|328137.5443,370860.2016|200.306,-458.5552|330.0
242|-297307.7401,414544.5145|-156.7586,-155.9874|118.0
243|575016.4202,639397.4391|669.8185,-336.9904|385.0
244|16886.3892,877387.5763|728.872,252.3576|272.0
245|-400914.474,349413.1518|318.8829,-621.1041|348.0
246|462480.5191,762354.165|669.3355,228.4302|364.0
247|205140.8522,263129.9188|728.3824,-504.7351|331.0
248|777724.6334,946201.1749|-154.1279,-178.11|236.0
249|100415.4093,783504.9214|475.5275,77.2963|174.0
